,stock_ID,buy_date,buy_price,sell_date,sell_price
0,1225,2008-03-04,13.65,2008-05-05,20.1
1,1311,2008-03-04,23.35,2008-04-10,24.25
2,1312,2008-03-04,12.2,2008-05-05,12.3
3,1313,2008-03-04,19.7,2008-05-05,20.1
4,1323,2008-03-04,12.3,2008-05-05,16.25
5,1476,2008-03-04,16.5,2008-05-05,17.2
6,1528,2008-03-04,17.9,2008-05-05,16.8
7,1718,2008-03-04,11.2,2008-05-05,11.95
8,2227,2008-03-04,49.9,2008-05-05,50.7
9,2337,2008-03-04,13.45,2008-05-05,16.65
10,2355,2008-03-04,26.0,2008-05-05,26.05
11,2377,2008-03-04,25.0,2008-05-05,26.8
12,2380,2008-03-04,18.4,2008-05-05,17.85
13,2383,2008-03-04,11.0,2008-05-05,14.35
14,2403,2008-03-04,22.4,2008-05-05,31.1
15,2437,2008-03-04,38.9,2008-05-05,38.0
16,2449,2008-03-04,15.15,2008-05-05,17.6
17,2456,2008-03-04,15.7,2008-05-05,16.2
18,2459,2008-03-04,26.8,2008-05-05,26.6
19,2468,2008-03-04,14.15,2008-05-05,14.5
20,2609,2008-03-04,20.8,2008-05-05,23.1
21,2613,2008-03-04,18.5,2008-05-05,28.1
22,2616,2008-03-04,16.5,2008-05-05,17.6
23,3017,2008-03-04,22.5,2008-05-05,22.6
24,3028,2008-03-04,18.6,2008-05-05,20.6
25,5469,2008-03-04,25.4,2008-05-05,27.85
26,6116,2008-03-04,13.1,2008-05-05,14.65
27,6136,2008-03-04,22.7,2008-05-05,27.0
28,6191,2008-03-04,36.45,2008-05-05,38.6
29,6201,2008-03-04,32.7,2008-05-05,31.25
30,6257,2008-03-04,16.9,2008-05-05,18.5
31,6282,2008-03-04,12.15,2008-05-05,14.6
32,8110,2008-03-04,12.65,2008-05-05,12.65
33,9912,2008-03-04,12.85,2008-05-05,14.6
34,2409,2008-07-01,48.2,2008-12-30,22.5
35,2509,2008-07-01,24.8,2008-09-01,20.5
36,2852,2008-07-01,14.7,2008-09-01,11.9
37,3009,2008-07-01,35.1,2008-12-30,10.25
38,1305,2008-09-01,10.2,2008-10-29,4.57
39,1434,2008-09-01,24.0,2008-12-30,17.1
40,1714,2008-09-01,10.8,2008-10-29,7.4
41,1902,2008-09-01,13.5,2008-10-29,6.15
42,2010,2008-09-01,13.0,2008-10-29,8.38
43,2017,2008-09-01,10.3,2008-10-29,4.19
44,2028,2008-09-01,11.95,2008-10-29,4.86
45,2029,2008-09-01,23.0,2009-04-28,22.0
46,2850,2008-09-01,15.5,2008-10-29,8.64
47,3536,2008-09-01,14.0,2008-10-29,6.29
48,5533,2008-09-01,15.6,2008-10-29,9.27
49,1530,2008-10-29,23.5,2009-04-28,25.0
50,1532,2008-10-29,16.7,2008-12-30,17.2
51,1540,2008-10-29,14.15,2009-04-28,27.0
52,1583,2008-10-29,24.5,2009-04-28,24.1
53,1708,2008-10-29,18.15,2008-12-30,24.7
54,1710,2008-10-29,12.85,2008-12-30,13.45
55,2006,2008-10-29,19.6,2008-12-30,20.15
56,2015,2008-10-29,22.5,2008-12-30,30.3
57,2031,2008-10-29,12.4,2008-12-30,13.65
58,2103,2008-10-29,21.75,2008-12-30,23.95
59,2441,2008-10-29,19.6,2009-04-28,25.75
60,2460,2008-10-29,16.2,2009-04-28,17.3
61,2464,2008-10-29,18.9,2008-12-30,16.0
62,2473,2008-10-29,17.7,2008-12-30,15.05
63,2524,2008-10-29,11.3,2008-12-30,13.1
64,2536,2008-10-29,16.1,2008-12-30,22.6
65,2542,2008-10-29,16.05,2008-12-30,13.4
66,2548,2008-10-29,27.7,2008-12-30,32.6
67,2605,2008-10-29,18.9,2008-12-30,29.8
68,3030,2008-10-29,16.75,2009-04-28,20.3
69,3034,2008-10-29,35.6,2009-02-26,41.8
70,3044,2008-10-29,40.3,2009-04-28,53.4
71,5434,2008-10-29,22.95,2009-04-28,26.0
72,5522,2008-10-29,20.4,2009-04-28,38.9
73,5531,2008-10-29,14.3,2008-12-30,13.3
74,5534,2008-10-29,19.35,2009-04-28,43.1
75,6213,2008-10-29,17.5,2009-04-28,21.6
76,9939,2008-10-29,26.3,2009-02-26,32.95
77,8374,2008-12-26,19.8,2009-04-28,20.6
78,1236,2008-12-30,11.9,2009-04-28,15.45
79,1301,2008-12-30,44.5,2009-02-26,47.5
80,1315,2008-12-30,16.1,2009-04-28,18.3
81,1326,2008-12-30,39.95,2009-04-28,48.9
82,1477,2008-12-30,23.0,2009-02-26,24.65
83,1523,2008-12-30,10.5,2009-04-28,19.1
84,1527,2008-12-30,15.7,2009-04-28,23.15
85,1704,2008-12-30,21.1,2009-04-28,28.3
86,1736,2008-12-30,19.5,2009-04-28,28.45
87,2014,2008-12-30,10.15,2009-04-28,11.0
88,2208,2008-12-30,18.9,2009-04-28,30.0
89,2360,2008-12-30,19.8,2009-04-28,32.6
90,2365,2008-12-30,15.75,2009-04-28,25.0
91,2387,2008-12-30,15.5,2009-04-28,29.0
92,2392,2008-12-30,32.5,2009-04-28,44.0
93,2428,2008-12-30,12.25,2009-04-28,17.5
94,2433,2008-12-30,14.15,2009-04-28,19.0
95,2439,2008-12-30,21.9,2009-04-28,30.3
96,2462,2008-12-30,11.4,2009-04-28,23.2
97,2474,2008-12-30,53.2,2009-02-26,58.2
98,2486,2008-12-30,13.9,2009-04-28,22.85
99,2608,2008-12-30,14.0,2009-04-28,15.6
100,3010,2008-12-30,20.25,2009-04-28,31.65
101,3042,2008-12-30,20.45,2009-02-26,26.15
102,3057,2008-12-30,10.6,2009-04-28,15.25
103,3059,2008-12-30,24.4,2009-04-28,31.2
104,3090,2008-12-30,14.0,2009-04-28,23.0
105,3209,2008-12-30,12.3,2009-04-28,19.0
106,3231,2008-12-30,23.8,2009-04-28,39.3
107,3296,2008-12-30,12.7,2009-04-28,17.7
108,3305,2008-12-30,20.7,2009-04-28,33.3
109,3308,2008-12-30,14.05,2009-04-28,18.4
110,3367,2008-12-30,20.9,2009-04-28,29.0
111,3380,2008-12-30,18.0,2009-04-28,24.6
112,3501,2008-12-30,23.0,2009-04-28,33.8
113,3514,2008-12-30,65.1,2009-02-26,71.6
114,3518,2008-12-30,52.1,2009-02-26,61.9
115,3533,2008-12-30,18.9,2009-04-28,29.6
116,3535,2008-12-30,19.55,2009-04-28,26.05
117,3559,2008-12-30,11.6,2009-04-28,13.8
118,3702,2008-12-30,15.15,2009-04-28,26.1
119,4306,2008-12-30,14.5,2009-04-28,20.0
120,4526,2008-12-30,17.3,2009-04-28,17.5
121,6115,2008-12-30,21.5,2009-04-28,39.85
122,6117,2008-12-30,11.3,2009-04-28,14.7
123,6136,2008-12-30,12.05,2009-04-28,22.0
124,6205,2008-12-30,15.25,2009-02-26,20.6
125,6271,2008-12-30,28.3,2009-04-28,40.3
126,8131,2008-12-30,20.6,2009-02-26,24.1
127,8926,2008-12-30,12.4,2009-04-28,14.7
128,6108,2008-12-31,10.8,2009-04-28,15.2
129,2337,2009-02-26,11.0,2009-04-28,13.5
130,2356,2009-02-26,10.35,2009-04-28,14.7
131,3576,2009-02-26,37.25,2009-04-28,38.35
132,6269,2009-02-26,13.0,2009-04-28,19.9
133,8046,2009-02-26,65.2,2009-04-28,88.2
134,1203,2009-04-28,18.5,2009-06-26,27.2
135,3058,2009-04-28,13.8,2009-06-26,15.2
136,9925,2009-04-28,15.55,2009-06-26,18.5
137,1305,2009-06-26,11.7,2009-10-26,12.7
138,1312,2009-06-26,10.95,2009-12-23,16.65
139,2442,2009-06-26,10.4,2009-08-25,13.15
140,2489,2009-06-26,19.25,2009-08-25,20.6
141,2816,2009-06-26,27.35,2009-10-23,27.15
142,1309,2009-08-25,10.3,2009-10-26,14.2
143,1304,2009-10-26,16.8,2009-12-23,19.3
144,1308,2009-10-26,25.8,2009-12-23,25.5
145,1314,2009-10-26,12.3,2009-12-23,12.25
146,1455,2009-10-26,13.15,2010-04-22,15.5
147,1608,2009-10-26,10.4,2010-04-22,12.35
148,2009,2009-10-26,10.5,2010-02-23,14.7
149,2530,2009-10-26,12.1,2009-12-23,10.2
150,1603,2009-12-23,12.7,2010-04-22,12.25
151,2534,2009-12-23,15.25,2010-10-19,17.8
152,2905,2009-12-23,16.6,2010-04-22,16.5
153,1809,2010-02-23,17.0,2010-04-22,26.2
154,2017,2010-02-23,10.45,2010-04-22,10.65
155,8926,2010-02-23,16.25,2010-04-22,17.2
156,1444,2010-04-22,10.55,2010-06-22,11.95
157,1453,2010-04-22,10.3,2010-06-22,9.87
158,1615,2010-04-22,14.05,2010-06-22,19.2
159,1907,2010-04-22,13.15,2010-06-22,12.15
160,2345,2010-04-22,15.1,2010-06-22,16.3
161,2359,2010-04-22,14.9,2010-06-22,13.8
162,2851,2010-04-22,16.2,2010-06-22,16.2
163,2852,2010-04-22,13.05,2010-06-22,12.8
164,2887,2010-04-22,12.2,2010-06-22,12.4
165,3080,2010-04-22,35.4,2010-06-22,30.3
166,3558,2010-04-22,50.3,2010-12-20,34.0
167,1718,2010-06-22,10.05,2010-10-19,13.9
168,2530,2010-06-22,13.1,2010-10-19,13.1
169,3638,2010-06-22,168.0,2010-12-20,112.0
170,1432,2010-10-19,10.4,2010-12-20,13.3
171,1617,2010-10-19,13.4,2010-12-20,14.5
172,2483,2010-10-19,19.3,2010-12-20,18.45
173,2603,2010-10-19,22.4,2010-12-20,26.95
174,2852,2010-10-19,14.95,2010-12-20,18.25
175,3055,2010-10-19,26.35,2010-12-20,26.55
176,1309,2010-12-20,12.9,2011-04-19,16.5
177,1465,2010-12-20,17.3,2011-04-19,20.2
178,1467,2010-12-20,12.4,2011-04-19,10.7
179,1590,2010-12-20,151.0,2011-02-16,162.0
180,2433,2010-12-20,32.0,2011-02-16,33.6
181,2723,2010-12-20,340.0,2011-02-16,269.0
182,2888,2010-12-20,12.1,2011-04-19,12.0
183,3703,2010-12-20,13.15,2011-04-19,12.1
184,2344,2011-02-16,10.35,2011-04-19,8.85
185,2442,2011-02-16,11.6,2011-04-19,12.6
186,2855,2011-02-16,17.9,2011-04-19,18.4
187,3004,2011-02-16,20.35,2011-04-19,22.0
188,1432,2011-04-19,14.8,2011-06-16,13.2
189,1532,2011-04-19,29.8,2011-06-16,29.9
190,2509,2011-04-19,24.4,2011-06-16,24.3
191,2514,2011-04-19,10.8,2011-06-16,11.75
192,2516,2011-04-19,11.65,2011-06-16,13.0
193,2849,2011-04-19,13.85,2011-06-16,14.6
194,1444,2011-06-16,15.8,2011-10-14,11.15
195,1454,2011-06-16,9.9,2011-08-16,9.21
196,1455,2011-06-16,17.6,2011-08-16,20.0
197,1604,2011-06-16,11.0,2011-08-16,9.18
198,2527,2011-06-16,20.35,2011-10-14,13.9
199,2530,2011-06-16,15.05,2011-10-14,10.3
200,5533,2011-06-16,24.25,2011-10-14,19.35
201,1414,2011-08-16,11.5,2011-10-14,11.3
202,1531,2011-08-16,26.3,2011-10-14,23.4
203,3686,2011-08-16,32.0,2011-10-14,18.5
204,3704,2011-08-16,19.6,2011-10-14,18.85
205,1219,2011-10-14,16.6,2011-12-13,16.1
206,1432,2011-10-14,11.1,2011-12-13,7.83
207,1446,2011-10-14,15.7,2011-12-13,12.45
208,1528,2011-10-14,15.2,2011-12-13,14.1
209,1806,2011-10-14,17.5,2011-12-13,12.8
210,2437,2011-10-14,39.6,2011-12-13,33.9
211,2472,2011-10-14,15.6,2011-12-13,12.6
212,2524,2011-10-14,20.4,2011-12-13,17.5
213,2906,2011-10-14,13.8,2011-12-13,13.0
214,3558,2011-10-14,31.0,2011-12-13,29.5
215,5515,2011-10-14,15.1,2011-12-13,13.0
216,9906,2011-10-14,14.85,2011-11-30,14.6
217,9906,2011-12-01,14.6,2012-06-12,28.6
218,1414,2011-12-13,11.4,2012-04-11,11.9
219,1527,2011-12-13,18.0,2012-02-13,22.2
220,2383,2011-12-13,18.3,2012-02-13,26.0
221,2399,2011-12-13,14.6,2012-04-11,16.0
222,2493,2011-12-13,19.95,2012-02-13,25.5
223,2537,2011-12-13,14.4,2012-06-12,14.5
224,2538,2011-12-13,13.05,2012-04-11,15.7
225,3015,2011-12-13,23.1,2012-04-11,26.3
226,3305,2011-12-13,32.4,2012-02-13,42.6
227,4526,2011-12-13,24.3,2012-02-13,31.1
228,3558,2011-12-15,30.0,2012-05-29,47.5
229,1315,2012-04-11,30.6,2012-06-12,29.3
230,1436,2012-04-11,14.25,2012-06-12,14.15
231,1468,2012-04-11,10.6,2012-06-12,9.2
232,2402,2012-04-11,16.0,2012-06-12,15.75
233,2501,2012-04-11,13.4,2012-06-12,12.75
234,2505,2012-04-11,12.8,2012-06-12,11.25
235,2534,2012-04-11,14.2,2012-06-12,14.7
236,2820,2012-04-11,12.8,2012-06-12,12.2
237,3021,2012-04-11,13.7,2012-06-12,13.55
238,3312,2012-04-11,14.85,2012-06-12,10.85
239,3558,2012-05-31,47.0,2013-12-31,159.5
240,2851,2012-06-12,11.75,2012-10-09,13.2
241,5515,2012-06-12,13.0,2012-10-09,13.85
242,5608,2012-06-12,26.3,2012-10-09,25.3
243,1305,2012-08-09,11.4,2012-10-09,12.4
244,1312,2012-10-09,15.1,2012-12-07,15.4
245,1416,2012-10-09,18.0,2012-12-07,17.75
246,1527,2012-10-09,18.85,2012-12-07,18.55
247,2107,2012-10-09,20.8,2012-12-07,20.9
248,2611,2012-10-09,14.2,2012-11-16,13.9
249,9958,2012-10-09,11.0,2012-12-07,10.5
250,2611,2012-11-22,14.7,2012-12-07,14.4
251,1444,2012-12-07,10.8,2013-04-09,10.45
252,1453,2012-12-07,11.05,2013-06-05,11.95
253,2345,2012-12-07,15.35,2013-02-05,16.4
254,2609,2012-12-07,12.6,2013-02-05,13.9
255,3058,2012-12-07,14.9,2013-04-09,20.2
256,5533,2012-12-07,18.6,2013-04-09,20.2
257,TWII,2012-12-07,7640.25,2013-04-09,7766.620117
258,4414,2013-02-05,10.15,2013-04-09,9.65
259,1234,2013-04-09,39.75,2013-06-05,39.3
260,1432,2013-04-09,22.45,2013-06-05,36.0
261,2415,2013-04-09,14.35,2013-06-05,14.45
262,2505,2013-04-09,18.6,2013-06-05,20.35
263,2609,2013-04-09,13.3,2013-06-05,12.4
264,2849,2013-04-09,17.2,2013-06-05,16.25
265,9958,2013-04-09,11.9,2013-06-05,12.75
266,2888,2013-06-05,10.0,2013-10-03,10.05
267,5515,2013-06-05,15.9,2013-10-03,14.15
268,2852,2013-08-06,19.2,2013-10-03,18.65
269,1515,2013-10-03,11.05,2013-12-03,12.0
270,2008,2013-10-03,11.3,2013-12-03,11.25
271,4934,2013-10-03,14.9,2013-12-03,29.2
272,5525,2013-10-03,18.95,2013-12-03,19.8
273,6116,2013-10-03,11.85,2014-04-01,11.5
274,2509,2013-12-03,25.7,2014-04-01,26.9
275,2851,2013-12-03,14.1,2014-04-01,15.85
276,5533,2013-12-03,19.3,2014-04-01,19.35
277,2477,2014-02-06,19.45,2014-04-01,20.55
278,2524,2014-02-06,28.65,2014-04-01,26.9
279,1103,2014-04-01,16.05,2014-06-03,15.9
280,1314,2014-04-01,12.55,2014-06-03,11.7
281,2331,2014-04-01,22.85,2014-06-03,23.0
282,2375,2014-04-01,14.9,2014-06-03,13.9
283,2443,2014-04-01,10.95,2014-06-03,11.25
284,2511,2014-04-01,14.8,2014-06-03,14.1
285,2527,2014-04-01,17.2,2014-06-03,16.25
286,2536,2014-04-01,28.2,2014-06-03,26.95
287,2537,2014-04-01,15.1,2014-06-03,13.8
288,2841,2014-04-01,11.4,2014-06-03,11.2
289,2850,2014-04-01,23.8,2014-06-03,24.8
290,2915,2014-04-01,73.5,2014-06-03,73.5
291,6120,2014-04-01,12.7,2014-06-03,11.55
292,8926,2014-06-03,21.15,2014-09-30,22.1
293,1805,2014-07-30,11.85,2014-09-30,11.95
294,1310,2014-09-30,13.4,2014-11-27,12.55
295,2020,2014-09-30,14.75,2014-11-27,14.6
296,2535,2014-09-30,21.25,2014-11-27,20.05
297,2538,2014-09-30,18.8,2014-11-27,18.15
298,2867,2014-09-30,17.9,2015-05-26,18.3
299,2905,2014-09-30,18.7,2015-03-27,21.5
300,5533,2014-09-30,20.4,2014-11-27,20.15
301,1235,2014-11-27,28.7,2015-05-26,20.2
302,2104,2014-11-27,30.8,2015-05-26,31.95
303,2415,2014-11-27,19.3,2015-01-27,23.9
304,2506,2014-11-27,12.2,2015-05-26,14.5
305,2527,2014-11-27,18.3,2015-05-26,20.9
306,2850,2014-11-27,24.05,2015-05-26,23.85
307,2915,2014-11-27,61.8,2015-05-26,72.6
308,9945,2015-03-27,47.1,2015-05-26,49.8
309,2031,2015-05-26,17.95,2015-09-23,12.9
310,2401,2015-05-26,16.5,2015-09-23,13.05
311,2501,2015-05-26,18.2,2015-09-23,14.05
312,2536,2015-05-26,26.2,2015-09-23,21.7
313,2538,2015-05-26,19.0,2015-11-24,16.45
314,5533,2015-05-26,20.3,2015-09-23,16.8
315,8427,2015-05-26,48.4,2015-09-23,48.4
316,2316,2015-07-27,23.1,2015-11-24,27.65
317,2548,2015-07-27,59.7,2015-09-23,58.8
318,3474,2015-07-27,18.65,2015-09-23,22.55
319,1310,2015-09-23,13.1,2015-11-24,14.0
320,1442,2015-09-23,17.3,2015-11-24,17.8
321,1457,2015-09-23,14.3,2015-11-24,12.05
322,2505,2015-09-23,11.7,2015-11-24,11.15
323,2534,2015-09-23,15.3,2015-11-24,16.5
324,2832,2015-09-23,21.8,2015-11-24,22.1
325,2867,2015-09-23,19.0,2015-11-24,19.15
326,2905,2015-09-23,21.45,2015-11-24,23.55
327,5522,2015-09-23,36.05,2015-11-24,35.85
328,5525,2015-09-23,16.6,2015-11-24,16.3
329,8070,2015-09-23,80.0,2015-11-24,89.5
330,1515,2015-11-24,11.0,2016-01-21,9.97
331,1704,2015-11-24,29.7,2016-03-22,36.2
332,2206,2015-11-24,22.2,2016-05-12,20.2
333,2850,2015-11-24,23.7,2016-05-20,23.9
334,3056,2015-11-24,12.95,2016-05-20,15.05
335,6115,2015-11-24,33.75,2016-03-22,37.05
336,6153,2015-11-24,25.45,2016-05-20,16.6
337,6168,2015-11-24,12.3,2016-05-20,9.24
338,8163,2015-11-24,17.95,2016-05-20,18.5
339,9946,2015-11-24,14.3,2016-05-20,13.05
340,1526,2016-01-21,13.0,2016-05-20,11.85
341,1530,2016-01-21,29.9,2016-05-20,28.5
342,1582,2016-01-21,43.3,2016-03-22,55.1
343,1808,2016-01-21,24.15,2016-03-22,29.0
344,2493,2016-01-21,20.45,2016-03-22,25.4
345,2823,2016-01-21,22.85,2016-05-20,23.1
346,4927,2016-01-21,33.9,2016-05-20,36.1
347,4999,2016-01-21,37.5,2016-03-22,48.25
348,6176,2016-01-21,60.9,2016-03-22,70.5
349,1515,2016-03-22,10.55,2016-05-20,10.35
350,1611,2016-03-22,10.3,2016-05-20,7.26
351,2206,2016-05-17,20.15,2016-05-20,21.3
352,1235,2016-05-20,23.35,2016-09-20,31.0
353,1416,2016-05-20,19.05,2016-10-11,23.75
354,2031,2016-05-20,14.15,2016-09-20,17.25
355,2489,2016-05-20,19.65,2016-09-20,23.7
356,2530,2016-05-20,16.4,2016-09-20,13.7
357,2536,2016-05-20,25.35,2016-09-20,26.55
358,2537,2016-05-20,10.85,2016-09-20,10.15
359,8070,2016-05-20,88.5,2016-07-19,98.5
360,8940,2016-05-20,15.2,2016-09-20,15.45
361,1437,2016-09-20,15.3,2016-11-16,15.3
362,1526,2016-09-20,14.9,2016-11-16,12.85
363,1626,2016-09-20,26.2,2016-11-16,25.7
364,1906,2016-09-20,11.75,2016-11-16,15.95
365,2545,2016-09-20,39.35,2016-11-16,40.4
366,2867,2016-09-20,14.85,2016-11-16,15.95
367,2905,2016-09-20,19.05,2017-03-16,26.3
368,3056,2016-09-20,20.5,2016-11-16,18.25
369,5519,2016-09-20,10.8,2016-11-16,10.15
370,5522,2016-09-20,37.15,2016-11-16,36.0
371,6164,2016-09-20,12.8,2016-11-16,13.05
372,8112,2016-09-20,19.15,2016-11-16,23.2
373,1416,2016-10-17,26.3,2016-11-16,26.2
374,1442,2016-11-16,17.55,2017-05-16,20.9
375,2031,2016-11-16,21.0,2017-01-17,21.5
376,2514,2016-11-16,16.4,2016-11-24,16.75
377,2548,2016-11-16,55.5,2017-01-17,60.3
378,6136,2016-11-16,23.0,2017-05-16,25.05
379,6214,2016-11-16,52.2,2017-03-16,69.5
380,2514,2016-11-25,16.95,2017-05-16,15.85
381,1324,2017-05-16,13.8,2017-09-12,12.65
382,2030,2017-05-16,12.3,2017-09-12,17.0
383,2031,2017-05-16,23.25,2017-07-14,29.55
384,2534,2017-05-16,19.0,2017-09-12,23.2
385,2616,2017-05-16,35.0,2017-09-12,32.2
386,3481,2017-05-16,13.05,2017-09-12,14.35
387,1314,2017-09-12,14.4,,
388,2514,2017-09-12,15.15,,
389,2867,2017-09-12,16.1,,
390,2905,2017-09-12,22.75,,
391,3056,2017-09-12,18.4,,
